c_personid,c_name,c_name_chn,c_addr_type,c_addr_id,x_coord,y_coord
1,An Dun,安惇,1,100430,106.791330,30.477690
14,Chao Duanyan,晁端彥,5,100429,115.146840,35.924000
14,Chao Duanyan,晁端彥,1,100658,114.335660,34.818340
17,Chen Anshi,陳安石,1,11478,112.785721,34.840869
17,Chen Anshi,陳安石,14,11725,114.345497,36.098343
20,Chen Qizong,陳起宗,1,12696,120.733788,31.646582
20,Chen Qizong,陳起宗,2,12696,120.733788,31.646582
20,Chen Qizong,陳起宗,3,13870,119.321577,26.073954
20,Chen Qizong,陳起宗,14,100158,121.332980,31.412860
31,Chen Jian(2),陳戩,1,13897,118.774612,27.528404
33,Chen Zhijian,陳知儉,14,13600,0.000000,0.000000
33,Chen Zhijian,陳知儉,1,100494,113.657400,34.784070
34,Chen Zhizhong,陳執中,14,100062,115.983320,28.621480
34,Chen Zhizhong,陳執中,1,100658,114.335660,34.818340
55,Chen Yi,陳繹,1,100409,112.434110,34.650820
62,Chen Kangbo,陳康伯,1,12887,117.421311,28.401876
64,Chen Kuo,陳廓,1,12706,119.520790,31.721610
70,Chen Liangbi,陳良弼,1,13921,117.781792,26.397610
77,Chen Shengzhi,陳升之,1,100011,119.600750,32.069710
77,Chen Shengzhi,陳升之,2,100011,119.600750,32.069710
77,Chen Shengzhi,陳升之,3,100181,118.552310,26.990370
82,Chen Shu,陳璹,14,13890,118.105370,27.339880
82,Chen Shu,陳璹,1,100181,118.552310,26.990370
85,Chen Shugu,陳述古,14,13601,105.967034,31.583160
85,Chen Shugu,陳述古,1,100494,113.657400,34.784070
89,Chen Tuo,陳橐,1,12761,121.152763,30.049067
97,Chen Yaosou,陳堯叟,14,13600,0.000000,0.000000
97,Chen Yaosou,陳堯叟,1,100494,113.657400,34.784070
98,Chen Yaozuo,陳堯佐,14,13607,105.610121,31.549823
98,Chen Yaozuo,陳堯佐,1,100494,113.657400,34.784070
102,Chen Yangong,陳彥恭,1,12690,120.618622,31.312710
102,Chen Yangong,陳彥恭,14,100531,119.100150,25.412790
108,Chen Yue,陳越,1,100664,114.164290,34.402200
